notation,prefLabel,altLabel,definition,broader,related,source,closeMatch,relatedMatch,seeAlso,broadMatch,narrowMatch,narrower,uri
F964CG,Schadensursache@de|Cause of damage@en,Abbaufaktor@de|schädlicher Einfluss@de,Für die Beschädigung/den Abbau als ursächlich angesehene negative Beeinträchtigung eines Objektes,,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,https://www.w3id.org/archlink/branches/DAC996/DAC996,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.:2020-02",https://www.w3id.org/archlink/terms/conservationthesaurus/BC5B57,,https://www.w3id.org/archlink/terms/conservationthesaurus/GCCD95|https://www.w3id.org/archlink/terms/conservationthesaurus/AA819F|https://www.w3id.org/archlink/terms/conservationthesaurus/A379F4|https://www.w3id.org/archlink/terms/conservationthesaurus/F968G3|https://www.w3id.org/archlink/terms/conservationthesaurus/GBDG4D|https://www.w3id.org/archlink/terms/conservationthesaurus/DD3A3D|https://www.w3id.org/archlink/terms/conservationthesaurus/FB7C46|https://www.w3id.org/archlink/terms/conservationthesaurus/G1GA5F|https://www.w3id.org/archlink/terms/conservationthesaurus/C473B4|https://www.w3id.org/archlink/terms/conservationthesaurus/GGD66G|https://www.w3id.org/archlink/terms/conservationthesaurus/D171FF|https://www.w3id.org/archlink/terms/conservationthesaurus/B2ADB6|https://www.w3id.org/archlink/terms/conservationthesaurus/C64BC8|https://www.w3id.org/archlink/terms/conservationthesaurus/FAFCF5|https://www.w3id.org/archlink/terms/conservationthesaurus/AD3A34|https://www.w3id.org/archlink/terms/conservationthesaurus/D16G86|https://www.w3id.org/archlink/terms/conservationthesaurus/A889A3|https://www.w3id.org/archlink/terms/conservationthesaurus/FDD71B,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG
GCCD95,Schadstoffe@de,,"Beschädigung des Objektes, durch Emmision von schädlichen Stoffen im direkten Umfeld des Objektes (Verpackungsmaterial, Vitrinen, etc.) oder durch emmitierende Stoffe, die zur Bearbeitung des Objektes selbst Verwendung fanden.",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GCCD95
AA819F,lichtinduzierter Schaden@de,Lichtschaden@de,licht- bzw. beleuchtungsinduzierte Beschädigung des Objektes,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/AA819F
A379F4,materialbedingter Schaden@de,,"Das Objekt weist Schäden auf, die auf die innere Struktur des Materials zurückzuführen sind.",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/A379F4
F968G3,Bodenlagerungsschaden@de,,"Beschädigung, die durch Einwirkungen auf ein Objekt während der Bodenlagerung verursacht wurde. (Erddruck, Besiedelung, etc.)",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/F968G3
GBDG4D,Bergungsschaden@de,,"Beschädigung, die durch den Umgang mit dem Objekt bei der Ausgrabung entstanden ist.",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GBDG4D
DD3A3D,Transportschaden@de,,"Schaden, der durch einen Transport des Objektes verursacht wurde.",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/DD3A3D
FB7C46,Lagerungsschaden@de,,"Beschädigung des Objektes, die auf unpassende Lagerungsbedingungen zurück zu führen ist.",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/FB7C46
G1GA5F,Biologischer Befall@de,Biologische Zerstörung@de,"Durch Einwirkung von biologischen Organismen (Pflanzen, Tieren, Mikroorganismen) auf oder in einem Objekt verursachte Beschädigung",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/G1GA5F
C473B4,Beschädigung durch vorherige Bearbeitung@de,Altrestaurierung@de,"Schadensphänomen, das durch eine (oder mehrere) vorangegangene Restaurierungs-/Konservierungs-Maßnahme oder andere Bearbeitung verursacht wurde",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/C473B4
GGD66G,Wasserschaden@de,Überschwemmung@de|Wassereinbruch@de,Durch den Kontakt zu Wasser herbeigeführte Schäden an einem Objekt,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/GGD66G
D171FF,Feuerschaden@de,Brandschaden@de,Durch einen Brand bzw. den Kontakt zu Feuer/Hitze herbeigeführte Schäden an einem Objekt,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D171FF
B2ADB6,Vandalismus@de,anthropogene Schädigung@de,Durch Menschen mutwillig herbeigeführte Schädigung eines Objektes,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/B2ADB6
C64BC8,Klimaschaden@de,Klima@de,"Schadensphänomen, das durch klimatische Faktoren verursacht oder verschlimmert wird (Feuchtigkeit und Temperatur, bzw. deren Schwankungen)",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/C64BC8
FAFCF5,Schaden durch mechanische Beanspruchung@de,Abnutzung@de|Verschleiß@de,Durch mechanische Einwirkung hervorgerufene kumulative Schädigung des Objektes. Häufig vor allem auf die Objektoberfläche bezogen.,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/FAFCF5
AD3A34,Verwitterung@de,,Schädigung durch negative Einwirkung der Bedingungen im Freien,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/AD3A34
D16G86,Korrosionsinduzierter Schaden@de,,Durch chemische Reaktion des Materials mit seiner Umgebung verursachter Schaden,https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D16G86
A889A3,Verschmutzung@de,Schmutz@de|Ablagerung@de,"Schadensphänomen, das durch Ablagerung unerwünschter Substanz die Lesbarkeit des Objektes vermindert",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D28G9A|https://www.w3id.org/archlink/terms/conservationthesaurus/F8915F|https://www.w3id.org/archlink/terms/conservationthesaurus/A14228|https://www.w3id.org/archlink/terms/conservationthesaurus/D74F16,https://www.w3id.org/archlink/terms/conservationthesaurus/A889A3
D28G9A,Erdanhaftungen@de,Erdreste@de,mehr oder weniger fest anhaftende Bodenbestandteile. Hauptsächlich an frisch geborgenen Objekten festzustellen.,https://www.w3id.org/archlink/terms/conservationthesaurus/A889A3,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D28G9A
F8915F,Versinterung@de,,Mehr oder weniger Fest an der Oberfläche anhaftende Sinterschichten.,https://www.w3id.org/archlink/terms/conservationthesaurus/A889A3,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/F8915F
A14228,Verkrustung@de,,Fest an der Oberfläche des Objektes anhaftende und verhärtete Ansammlung von Fremdsubstanz,https://www.w3id.org/archlink/terms/conservationthesaurus/A889A3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/A14228
D74F16,Staubablagerung@de,,"Lose, auf der Oberfläche des Objektes angesammelte Ablagerung von luftgetragenen Partikeln",https://www.w3id.org/archlink/terms/conservationthesaurus/A889A3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/D74F16
FDD71B,Salzbelastung@de,Salzsprengung@de,"Schadensphänomen, das durch das Vorhandensein löslicher Salze in einem Objekt/Material verursacht wird",https://www.w3id.org/archlink/terms/conservationthesaurus/F964CG,,,,,,,,,https://www.w3id.org/archlink/terms/conservationthesaurus/FDD71B
